sequential test: size of graph: 4030; time: 5; ms
sequential test: size of graph: 4040; time: 5; ms
sequential test: size of graph: 4050; time: 5; ms
sequential test: size of graph: 4060; time: 5; ms
sequential test: size of graph: 4070; time: 5; ms
sequential test: size of graph: 4080; time: 5; ms
sequential test: size of graph: 4090; time: 5; ms
sequential test: size of graph: 4100; time: 5; ms
sequential test: size of graph: 4110; time: 5; ms
sequential test: size of graph: 4120; time: 5; ms
sequential test: size of graph: 4130; time: 5; ms
sequential test: size of graph: 4140; time: 5; ms
sequential test: size of graph: 4150; time: 5; ms
sequential test: size of graph: 4160; time: 6; ms
sequential test: size of graph: 4170; time: 5; ms
sequential test: size of graph: 4180; time: 5; ms
sequential test: size of graph: 4190; time: 5; ms
sequential test: size of graph: 4200; time: 6; ms
sequential test: size of graph: 4210; time: 5; ms
sequential test: size of graph: 4220; time: 7; ms
sequential test: size of graph: 4230; time: 5; ms
sequential test: size of graph: 4240; time: 5; ms
sequential test: size of graph: 4250; time: 6; ms
sequential test: size of graph: 4260; time: 6; ms
sequential test: size of graph: 4270; time: 5; ms
sequential test: size of graph: 4280; time: 6; ms
sequential test: size of graph: 4290; time: 5; ms
sequential test: size of graph: 4300; time: 6; ms
sequential test: size of graph: 4310; time: 6; ms
sequential test: size of graph: 4320; time: 5; ms
sequential test: size of graph: 4330; time: 6; ms
sequential test: size of graph: 4340; time: 6; ms
sequential test: size of graph: 4350; time: 5; ms
sequential test: size of graph: 4360; time: 6; ms
sequential test: size of graph: 4370; time: 6; ms
sequential test: size of graph: 4380; time: 6; ms
sequential test: size of graph: 4390; time: 7; ms
sequential test: size of graph: 4400; time: 6; ms
sequential test: size of graph: 4410; time: 6; ms
sequential test: size of graph: 4420; time: 7; ms
sequential test: size of graph: 4430; time: 6; ms
sequential test: size of graph: 4440; time: 7; ms
sequential test: size of graph: 4450; time: 6; ms
sequential test: size of graph: 4460; time: 6; ms
sequential test: size of graph: 4470; time: 6; ms
sequential test: size of graph: 4480; time: 7; ms
sequential test: size of graph: 4490; time: 6; ms
sequential test: size of graph: 4500; time: 6; ms
sequential test: size of graph: 4510; time: 7; ms
sequential test: size of graph: 4520; time: 6; ms
sequential test: size of graph: 4530; time: 6; ms
sequential test: size of graph: 4540; time: 7; ms
sequential test: size of graph: 4550; time: 6; ms
sequential test: size of graph: 4560; time: 7; ms
sequential test: size of graph: 4570; time: 6; ms
sequential test: size of graph: 4580; time: 7; ms
sequential test: size of graph: 4590; time: 6; ms
sequential test: size of graph: 4600; time: 7; ms
sequential test: size of graph: 4610; time: 6; ms
sequential test: size of graph: 4620; time: 7; ms
sequential test: size of graph: 4630; time: 6; ms
sequential test: size of graph: 4640; time: 7; ms
sequential test: size of graph: 4650; time: 7; ms
sequential test: size of graph: 4660; time: 6; ms
sequential test: size of graph: 4670; time: 7; ms
sequential test: size of graph: 4680; time: 7; ms
sequential test: size of graph: 4690; time: 6; ms
sequential test: size of graph: 4700; time: 7; ms
sequential test: size of graph: 4710; time: 7; ms
sequential test: size of graph: 4720; time: 7; ms
sequential test: size of graph: 4730; time: 7; ms
sequential test: size of graph: 4740; time: 7; ms
sequential test: size of graph: 4750; time: 7; ms
sequential test: size of graph: 4760; time: 7; ms
sequential test: size of graph: 4770; time: 7; ms
sequential test: size of graph: 4780; time: 7; ms
sequential test: size of graph: 4790; time: 7; ms
sequential test: size of graph: 4800; time: 7; ms
sequential test: size of graph: 4810; time: 7; ms
sequential test: size of graph: 4820; time: 7; ms
sequential test: size of graph: 4830; time: 7; ms
sequential test: size of graph: 4840; time: 8; ms
sequential test: size of graph: 4850; time: 7; ms
sequential test: size of graph: 4860; time: 7; ms
sequential test: size of graph: 4870; time: 8; ms
sequential test: size of graph: 4880; time: 7; ms
sequential test: size of graph: 4890; time: 7; ms
sequential test: size of graph: 4900; time: 7; ms
sequential test: size of graph: 4910; time: 8; ms
sequential test: size of graph: 4920; time: 7; ms
sequential test: size of graph: 4930; time: 8; ms
sequential test: size of graph: 4940; time: 7; ms
sequential test: size of graph: 4950; time: 8; ms
sequential test: size of graph: 4960; time: 7; ms
sequential test: size of graph: 4970; time: 8; ms
sequential test: size of graph: 4980; time: 7; ms
sequential test: size of graph: 4990; time: 8; ms
sequential test: size of graph: 5000; time: 7; ms
sequential test: size of graph: 5010; time: 7; ms
sequential test: size of graph: 5020; time: 8; ms
sequential test: size of graph: 5030; time: 8; ms
sequential test: size of graph: 5040; time: 7; ms
sequential test: size of graph: 5050; time: 8; ms
sequential test: size of graph: 5060; time: 8; ms
sequential test: size of graph: 5070; time: 8; ms
sequential test: size of graph: 5080; time: 8; ms
sequential test: size of graph: 5090; time: 8; ms
sequential test: size of graph: 5100; time: 8; ms
sequential test: size of graph: 5110; time: 8; ms
sequential test: size of graph: 5120; time: 8; ms
sequential test: size of graph: 5130; time: 8; ms
sequential test: size of graph: 5140; time: 8; ms
sequential test: size of graph: 5150; time: 8; ms
sequential test: size of graph: 5160; time: 8; ms
sequential test: size of graph: 5170; time: 8; ms
sequential test: size of graph: 5180; time: 8; ms
sequential test: size of graph: 5190; time: 9; ms
sequential test: size of graph: 5200; time: 8; ms
sequential test: size of graph: 5210; time: 8; ms
sequential test: size of graph: 5220; time: 9; ms
sequential test: size of graph: 5230; time: 9; ms
sequential test: size of graph: 5240; time: 9; ms
sequential test: size of graph: 5250; time: 9; ms
sequential test: size of graph: 5260; time: 9; ms
sequential test: size of graph: 5270; time: 9; ms
sequential test: size of graph: 5280; time: 8; ms
sequential test: size of graph: 5290; time: 9; ms
sequential test: size of graph: 5300; time: 10; ms
